num;x
6608;SMO
6654;SOS1
6655;SOS2
6688;SPI1
673;BRAF
675;BRCA2
6772;STAT1
6774;STAT3
6776;STAT5A
6777;STAT5B
6789;STK4
6921;ELOC
6923;ELOB
6932;TCF7
6934;TCF7L2
7039;TGFA
7040;TGFB1
7042;TGFB2
7043;TGFB3
7046;TGFBR1
7048;TGFBR2
7157;TP53
7170;TPM3
7175;TPR
7184;HSP90B1
7185;TRAF1
7186;TRAF2
7187;TRAF3
7188;TRAF5
7189;TRAF6
7422;VEGFA
7423;VEGFB
7424;VEGFC
7428;VHL
7471;WNT1
7472;WNT2
7473;WNT3
7474;WNT5A
7475;WNT6
7476;WNT7A
7477;WNT7B
7478;WNT8A
7479;WNT8B
7480;WNT10B
7481;WNT11
7482;WNT2B
7483;WNT9A
7484;WNT9B
7704;ZBTB16
7849;PAX8
7855;FZD5
7976;FZD3
8030;CCDC6
8031;NCOA4
80326;WNT10A
8074;FGF23
81029;WNT5B
8312;AXIN1
8313;AXIN2
8321;FZD1
8322;FZD4
8323;FZD6
8324;FZD7
8325;FZD8
8326;FZD9
83439;TCF7L1
83593;RASSF5
836;CASP3
841;CASP8
842;CASP9
8453;CUL2
8503;PIK3R3
8517;IKBKG
8554;PIAS1
861;RUNX1
862;RUNX1T1
8643;PTCH2
867;CBL
868;CBLB
8772;FADD
8817;FGF18
8822;FGF17
8823;FGF16
8900;CCNA1
89780;WNT3A
898;CCNE1
9063;PIAS2
9134;CCNE2
9618;TRAF4
9915;ARNT2
9965;FGF19
9978;RBX1
998;CDC42
999;CDH1
10000;AKT3
1017;CDK2
1019;CDK4
1021;CDK6
1026;CDKN1A
1027;CDKN1B
1029;CDKN2A
10297;APC2
1030;CDKN2B
10319;LAMC3
10342;TFG
10401;PIAS3
1050;CEBPA
10928;RALBP1
11186;RASSF1
11211;FZD10
112398;EGLN2
112399;EGLN3
1147;CHUK
1163;CKS1B
1282;COL4A1
1284;COL4A2
1286;COL4A4
1288;COL4A6
1387;CREBBP
1398;CRK
1399;CRKL
1436;CSF1R
1438;CSF2RA
1441;CSF3R
1487;CTBP1
1488;CTBP2
1495;CTNNA1
1496;CTNNA2
1499;CTNNB1
1612;DAPK1
1613;DAPK3
1630;DCC
1855;DVL1
1856;DVL2
1857;DVL3
1869;E2F1
1870;E2F2
1871;E2F3
1950;EGF
1956;EGFR
2033;EP300
2034;EPAS1
2064;ERBB2
207;AKT1
208;AKT2
2113;ETS1
2122;MECOM
2246;FGF1
2247;FGF2
2248;FGF3
2249;FGF4
2250;FGF5
2251;FGF6
2252;FGF7
2253;FGF8
2254;FGF9
2255;FGF10
2256;FGF11
2257;FGF12
2258;FGF13
2259;FGF14
2260;FGFR1
2261;FGFR3
2263;FGFR2
2271;FH
2277;VEGFD
22798;LAMB4
2308;FOXO1
2322;FLT3
2323;FLT3LG
2335;FN1
2353;FOS
23533;PIK3R5
23604;DAPK2
23624;CBLC
2475;MTOR
25;ABL1
2535;FZD2
26060;APPL1
26281;FGF20
26291;FGF21
27006;FGF22
27148;STK36
2735;GLI1
2736;GLI2
2737;GLI3
284217;LAMA1
2885;GRB2
29119;CTNNA3
2932;GSK3B
2950;GSTP1
2956;MSH6
3065;HDAC1
3066;HDAC2
3082;HGF
3091;HIF1A
324;APC
3265;HRAS
329;BIRC2
330;BIRC3
331;XIAP
332;BIRC5
3320;HSP90AA1
3326;HSP90AB1
3479;IGF1
3480;IGF1R
354;KLK3
355;FAS
3551;IKBKB
356;FASLG
3569;IL6
3576;CXCL8
3655;ITGA6
367;AR
3673;ITGA2
3674;ITGA2B
3675;ITGA3
3685;ITGAV
3688;ITGB1
369;ARAF
3716;JAK1
3725;JUN
3728;JUP
3815;KIT
3845;KRAS
387;RHOA
3908;LAMA2
3909;LAMA3
3910;LAMA4
3911;LAMA5
3912;LAMB1
3913;LAMB2
3914;LAMB3
3915;LAMC1
3918;LAMC2
405;ARNT
4087;SMAD2
4088;SMAD3
4089;SMAD4
4149;MAX
4193;MDM2
4233;MET
4254;KITLG
4286;MITF
4292;MLH1
4312;MMP1
4313;MMP2
4318;MMP9
4436;MSH2
4437;MSH3
4609;MYC
4790;NFKB1
4791;NFKB2
4792;NFKBIA
4824;NKX3-1
4843;NOS2
4893;NRAS
4914;NTRK1
51176;LEF1
51384;WNT16
5154;PDGFA
5155;PDGFB
5156;PDGFRA
51588;PIAS4
5159;PDGFRB
51684;SUFU
5228;PGF
5290;PIK3CA
5291;PIK3CB
5293;PIK3CD
5294;PIK3CG
5295;PIK3R1
5296;PIK3R2
5335;PLCG1
5336;PLCG2
5337;PLD1
5371;PML
54205;CYCS
54361;WNT4
54583;EGLN1
5467;PPARD
5468;PPARG
5578;PRKCA
5579;PRKCB
5582;PRKCG
5594;MAPK1
5595;MAPK3
5599;MAPK8
5601;MAPK9
5602;MAPK10
5604;MAP2K1
5605;MAP2K2
572;BAD
5727;PTCH1
5728;PTEN
5743;PTGS2
5747;PTK2
581;BAX
5879;RAC1
5880;RAC2
5881;RAC3
5888;RAD51
5894;RAF1
5898;RALA
5899;RALB
5900;RALGDS
5914;RARA
5915;RARB
5925;RB1
595;CCND1
596;BCL2
5970;RELA
5979;RET
598;BCL2L1
613;BCR
6256;RXRA
6257;RXRB
6258;RXRG
637;BID
64399;HHIP
6469;SHH
650;BMP2
6502;SKP2
6513;SLC2A1
652;BMP4